fecha,AFORO,TFAREAL,IGAE,DUMMONUMENTO,MAR,JUN,AFORO_L1,TFAREAL_L2,D_AFORO,D_IGAE,LOG_AFORO,LOG_IGAE,LOG_TFAREAL
2024-02-01,326005,174.4117362,101.1,0,0,0,335453.0,170.8228868,-9448.0,-0.1000000000000085,12.69466799765454,4.616110126026426,5.161418803935462
2024-03-01,395572,175.910342,102.8,0,1,0,326005.0,169.3110554,69567.0,1.7000000000000028,12.888088097661567,4.632785353021065,5.169974444784923
2024-04-01,327402,175.5554728,105.9,0,0,0,395572.0,174.4117362,-68170.0,3.1000000000000085,12.698944052636003,4.662495252607361,5.167955077292277
2024-05-01,327152,175.8814799,107.9,0,0,0,327402.0,175.910342,-250.0,2.0,12.698180173682836,4.681204872264089,5.169810358536932
2024-06-01,318033,175.2189548,103.9,0,0,1,327152.0,175.5554728,-9119.0,-4.0,12.669910429963114,4.6434288981051814,5.166036362147946
2024-07-01,336079,173.4036749,107.0,0,0,0,318033.0,175.8814799,18046.0,3.0999999999999943,12.72510153035681,4.672828834461906,5.155622257316794
2024-08-01,344524,173.3909259,106.1,0,0,0,336079.0,175.2189548,8445.0,-0.9000000000000057,12.749919033192148,4.664382045619937,5.155548732527329
2024-09-01,342498,173.3055556,103.2,0,0,0,344524.0,173.4036749,-2026.0,-2.8999999999999915,12.74402109725131,4.636668853047462,5.155056253911128
2024-10-01,332391,172.3581431,106.4,0,0,0,342498.0,173.3909259,-10107.0,3.200000000000003,12.7140672657846,4.667205576907544,5.149574539308309
2024-11-01,385720,171.6106357,108.8,0,0,0,332391.0,173.3055556,53329.0,2.3999999999999915,12.86286699662432,4.689511334421843,5.145228164736936
2024-12-01,405919,170.9575278,104.2,0,0,0,385720.0,172.3581431,20199.0,-4.599999999999994,12.91390891129046,4.646312129319266,5.141415150213776
2025-01-01,354640,170.4706418,101.1,0,0,0,405919.0,171.6106357,-51279.0,-3.1000000000000085,12.778858469418935,4.616110126026426,5.138563093041063
2025-02-01,323215,175.5,98.1,0,0,0,354640.0,170.9575278,-31425.0,-3.0,12.686073015443217,4.585987366571318,5.167639042905921
